DRUGS_ID;“ËÔ;202101001;202101002;202101003;202101004;202101005;202101006
;QUANTITY;6,8796;26,4964209;7,248172786;301,8017059;217,2939349;323,8698433
269335;VOLUME;363814351,8;271261314,2;166260771,3;206103376;234303739,2;278705149,9
;QUANTITY;115353,6128;77254,8425;50865,82239;66452,69745;72979,56792;85511,04947
269336;VOLUME;53389897,21;67764878,9;49283972,89;18931136,96;17110497,08;12196871,28
;QUANTITY;4777,901825;6396,04189;4354,799983;1767,022103;1606,107738;1254,583375
273333;VOLUME;39008,63747;114306,5894;93336,24923;;;
;QUANTITY;63,15251081;178,1263123;159,0867632;;;
273339;VOLUME;13508,25192;17252,50161;11277,02259;;;
;QUANTITY;41,35461507;45,07228024;30,07766297;;;
273340;VOLUME;3034585,809;2091215,03;2975470,073;97816824,89;90288391,6;107296099,9
;QUANTITY;1809,025143;1206,472806;1828,296314;60365,00304;55936,84349;61879,27725
273341;VOLUME;372029,1325;601490,0099;838346,3242;;;
;QUANTITY;174,5550884;307,4268851;475,7598015;;;
273342;VOLUME;3373522,149;1521806,882;2871167,15;67644272,77;55902307,86;60840503,19
;QUANTITY;2677,107844;1233,444253;2322,100775;52838,99035;43104,27233;44891,07509
273343;VOLUME;;;;1328,802;1496,272729;
;QUANTITY;;;;0,9547;1,024059961;
275004;VOLUME;634022918,4;351087025,4;598622320,6;413574134,7;423938289,9;516850819,9
;QUANTITY;238951,8173;127924,278;220579,5366;154207,0155;168298,3919;213894,6847
275005;VOLUME;134788963,7;80532763,79;38351603,74;65763212,11;75361129,82;114540940,7
;QUANTITY;141167,9568;80445,72335;39634,2071;76780,51378;84581,97448;127073,946
275006;VOLUME;55138222,78;53447652,4;54409479,4;91718524,24;81028194,14;156110999,3
;QUANTITY;61753,50225;56931,1097;58141,81963;103747,9945;95579,23067;170333,5799
275007;VOLUME;80113530,25;129433637,4;121684790;82503238,89;141286564,4;168497088
;QUANTITY;31771,03057;46903,18284;47158,57843;30490,48339;58313,73573;67839,83886
292769;VOLUME;7525142,046;6653601,505;6183140,379;6777463,305;8055572,33;8211679,731
;QUANTITY;35560,11888;31412,19511;31178,42949;30705,61052;35837,82039;40755,80064
293010;VOLUME;24105144,68;28608015,37;32289002,82;24774456,44;26495796,97;28238110,56
;QUANTITY;146240,1114;179723,8614;198356,5624;159304,3259;157570,8811;177335,9604
309540;VOLUME;19414787,06;25668826,28;26636731,53;22063081,42;21210716,32;24827444,99
;QUANTITY;108361,4464;149671,8744;159373,2731;134885,4975;135858,3015;158109,9812
311856;VOLUME;18265,4343;29058,54702;59229,24658;54836,89856;11668,90167;20975,87384
;QUANTITY;14,94637724;17,09680788;40,90351817;33,05522826;9,009942944;15,11187324
311857;VOLUME;159610,9383;235313,0171;238366,315;24055,44253;11553,96068;
;QUANTITY;95,71597668;142,0165242;140,3623814;14,66412046;6,226997264;
311858;VOLUME;137413502,7;137106784,3;158671846;173706876,2;154830004,2;165468827,1
;QUANTITY;92149,0548;85474,94511;102947,6997;100382,1706;92354,02666;96570,25515
311871;VOLUME;7386090,368;7437319,24;7307620,303;8403502,315;9433301,783;9296425,845
;QUANTITY;49256,58648;47177,71601;45646,02761;52014,17223;61622,83682;60698,90772
314738;VOLUME;42952173,62;41349474,15;39533230,93;42624572,61;51078657;55888225,86
;QUANTITY;218281,6529;216885,882;184792,6519;199022,5561;248963,4384;285637,9073
314936;VOLUME;61652268,42;66374283,05;128582945,9;72424821,91;78868201,7;90274227,43
;QUANTITY;168451,4129;172387,2404;346833,2288;199823,9688;218946,6086;232205,6083
314999;VOLUME;;;;46214,1979;35139,17596;73552,31359
;QUANTITY;;;;154,2324103;105,9831052;218,7806003
315427;VOLUME;350867816,4;299996322,5;400477937,2;224413499,3;238061035,5;456884329,9
;QUANTITY;617188,3448;550401,5746;724487,3056;428436,4183;429747,9539;885640,6202
315428;VOLUME;111563798,9;102235913,5;78591827,56;58772572,64;733953,5833;
;QUANTITY;194543,766;178512,3506;136609,3776;100210,6693;1389,03019;
353223;VOLUME;15668909,84;9738238,778;15416620,87;7989880,129;6561434,602;9275467,715
;QUANTITY;102117,905;68774,62714;98166,16039;52482,88331;42611,47944;61510,71901
356203;VOLUME;7177,713814;8578,909483;3886,556436;654,8963888;818,7494778;1503,772763
;QUANTITY;74,36339475;89,92313604;47,7209572;5,075549422;5,007755804;6,8054
359549;VOLUME;3310417,668;2904055,635;3131692,231;3353944,125;3713742,202;4010642,72
;QUANTITY;10616,94411;9414,364849;10199,71223;10516,83642;12011,22482;13290,97254
375699;VOLUME;301,788;611,3115;910,7711659;585,9576;1806,448178;1543,978806
;QUANTITY;1,5555;3,0537;8,7057;5,865;9,65105;12,72644411
376240;VOLUME;38548545,17;44231202,88;36839568,08;39061641,98;39410158,99;49744953,03
;QUANTITY;11285,46737;11462,74907;9352,03876;10866,67505;10730,74475;14804,32402
377465;VOLUME;8907015,507;8303464,196;5913856,158;3950033,146;2056343,378;1979575,037
;QUANTITY;20896,60035;18928,324;13940,46619;8700,697871;5090,78329;5015,409066
